track_id,track_name,track_description,current_role,next_role,typical_years,years_range,requirements,source
technical_specializations_intern,Technical Specializations - Entry,Entry-level paths for specialized technical roles,UI/UX Design Intern,Junior UI/UX Designer,0.75,0.5-1,Design tools (Figma/Adobe XD) | User research basics | Wireframing | Design principles,Design internship path
technical_specializations_intern,Technical Specializations - Entry,Entry-level paths for specialized technical roles,Mobile Development Intern,Junior Mobile Developer,1.0,0.5-1.5,Mobile development basics (iOS/Android) | Mobile UI patterns | API integration | App lifecycle,Mobile dev internship path
finance_accounting_intern,Finance & Accounting - Entry,Entry-level path for finance professionals,Finance Intern,Junior Financial Analyst,0.75,0.5-1,Excel proficiency | Financial modeling basics | Accounting fundamentals | Analytical skills,Finance internship standard
finance_accounting_intern,Finance & Accounting - Entry,Entry-level path for finance professionals,Accounting Intern,Junior Accountant,0.75,0.5-1,Accounting principles | Bookkeeping | Financial reporting basics | Attention to detail,Accounting internship path
marketing_intern,Marketing - Entry,Entry-level path for marketing professionals,Marketing Intern,Marketing Coordinator,0.75,0.5-1,Social media basics | Content creation | Market research | Communication skills,Marketing internship standard
marketing_intern,Marketing - Entry,Entry-level path for marketing professionals,Digital Marketing Intern,Digital Marketing Associate,0.75,0.5-1,SEO/SEM basics | Social media marketing | Analytics tools | Content strategy,Digital marketing internship
human_resources_intern,Human Resources - Entry,Entry-level path for HR professionals,HR Intern,HR Coordinator,0.75,0.5-1,Recruitment basics | HRIS familiarity | Employee relations | Organizational skills,HR internship standard path
human_resources_intern,Human Resources - Entry,Entry-level path for HR professionals,Talent Acquisition Intern,Junior Recruiter,0.75,0.5-1,Sourcing techniques | Interview coordination | ATS systems | Communication skills,Recruitment internship path
sales_intern,Sales - Entry,Entry-level path for sales professionals,Sales Intern,Sales Representative,0.75,0.5-1,Communication skills | Customer service | CRM basics | Persuasion ability,Sales internship standard
sales_intern,Sales - Entry,Entry-level path for sales professionals,Business Development Intern,Junior BDR,0.75,0.5-1,Lead generation | Market research | Prospecting | Relationship building,BDR internship path
operations_intern,Operations - Entry,Entry-level path for operations,Operations Intern,Operations Coordinator,0.75,0.5-1,Process documentation | Data analysis | Project coordination | Problem-solving,Operations internship standard
customer_success_intern,Customer Success - Entry,Entry-level path for customer-facing roles,Customer Support Intern,Customer Support Representative,0.5,0.5-1,Communication skills | Problem-solving | Product knowledge | Empathy,Support internship path
customer_success_intern,Customer Success - Entry,Entry-level path for customer-facing roles,Customer Success Intern,Customer Success Associate,0.75,0.5-1,Account management basics | Customer onboarding | Relationship building | Product expertise,CS internship progression
project_management_intern,Project Management - Entry,Entry-level path for project management,Project Management Intern,Project Coordinator,1.0,0.5-1.5,Project planning basics | Task coordination | Communication | Time management,PM internship standard
software_engineering,Software Engineering,Technical track for software development professionals,Junior Software Engineer,Software Engineer,2.0,1-3,Strong coding skills | Understanding of software development lifecycle | Basic system design,"Industry standard, 0-2 years at junior level"
software_engineering,Software Engineering,Technical track for software development professionals,Junior Software Engineer,Associate Software Engineer,1.0,1-2,Demonstrated coding proficiency | Ability to work independently on smaller tasks,Common entry progression
software_engineering,Software Engineering,Technical track for software development professionals,Software Engineer,Senior Software Engineer,3.0,2-5,Technical leadership | Mentoring ability | Complex problem solving | Business impact demonstration,"Industry average 4-8 years total experience, FAANG can be 2-3 years with high performance"
software_engineering,Software Engineering,Technical track for software development professionals,Software Engineer,Full Stack Developer,2.0,2-4,Frontend and backend proficiency | Database knowledge | API design,Specialization path
software_engineering,Software Engineering,Technical track for software development professionals,Senior Software Engineer,Tech Lead,2.0,2-3,Team leadership | Architecture decisions | Cross-team collaboration | Strategic thinking,SLASSCOM technical track progression
software_engineering,Software Engineering,Technical track for software development professionals,Senior Software Engineer,Software Architect,3.0,2-5,System design expertise | Technology selection | Long-term technical vision | 10+ years total experience,Typical 10-15 years total experience for architect role
software_engineering,Software Engineering,Technical track for software development professionals,Senior Software Engineer,Engineering Manager,3.0,2-4,People management | Performance evaluation | Resource planning | Business alignment,SLASSCOM management transition track
software_engineering,Software Engineering,Technical track for software development professionals,Tech Lead,Engineering Manager,2.0,1-3,Team building | Budget management | Strategic planning,Common leadership progression
software_engineering,Software Engineering,Technical track for software development professionals,Tech Lead,Principal Engineer,3.0,2-4,Deep technical expertise | Organization-wide impact | Innovation leadership,Senior IC track
data_analytics,Data Analytics & Science,Data-focused career progression from analysis to science and leadership,Data Analyst,Senior Data Analyst,3.0,2-5,Advanced SQL | Data visualization mastery | Business impact | Stakeholder management,Industry standard 2-5 years for senior analyst
data_analytics,Data Analytics & Science,Data-focused career progression from analysis to science and leadership,Data Analyst,Business Analyst,2.0,2-4,Business process understanding | Requirements gathering | Communication skills,Common lateral/progression move
data_analytics,Data Analytics & Science,Data-focused career progression from analysis to science and leadership,Senior Data Analyst,Data Scientist,2.0,1-3,Machine learning | Python/R proficiency | Statistical modeling | Advanced mathematics,6 months - 2 years transition with skill development
data_analytics,Data Analytics & Science,Data-focused career progression from analysis to science and leadership,Senior Data Analyst,Analytics Manager,3.0,2-4,Team leadership | Strategic analytics | Cross-functional collaboration,6-8 years total for advisory/management roles
data_analytics,Data Analytics & Science,Data-focused career progression from analysis to science and leadership,Senior Data Analyst,Business Intelligence Analyst,2.0,1-3,BI tools expertise | Dashboard design | Data warehousing,Specialization path
data_analytics,Data Analytics & Science,Data-focused career progression from analysis to science and leadership,Data Scientist,Senior Data Scientist,3.0,2-4,Project leadership | Business alignment | Mentoring | 4-6 years DS experience,4-6 years in data science for senior role
data_analytics,Data Analytics & Science,Data-focused career progression from analysis to science and leadership,Data Scientist,Machine Learning Engineer,2.0,2-3,MLOps | Production systems | Software engineering | Model deployment,Specialization track
data_analytics,Data Analytics & Science,Data-focused career progression from analysis to science and leadership,Business Intelligence Analyst,Senior BI Analyst,3.0,2-4,5-10 years total experience | Strategic BI | Team leadership,BI career ladder standard
data_analytics,Data Analytics & Science,Data-focused career progression from analysis to science and leadership,Business Intelligence Analyst,Business Intelligence Manager,5.0,4-7,10-12 years total experience | MBA or Master's often required | Leadership,10-12 years in BI for management
business_analysis,Business Analysis & Product,Business-focused analytical and product management roles,Business Analyst,Senior Business Analyst,2.0,2-4,Requirements leadership | Process optimization | Stakeholder management,Standard BA progression
business_analysis,Business Analysis & Product,Business-focused analytical and product management roles,Business Analyst,Product Manager,3.0,2-4,Product strategy | User research | Roadmap planning | Cross-functional leadership,Common BA to PM transition
business_analysis,Business Analysis & Product,Business-focused analytical and product management roles,Business Analyst,Project Manager,2.0,2-3,Project planning | Risk management | Team coordination,Lateral move with management focus
business_analysis,Business Analysis & Product,Business-focused analytical and product management roles,Product Manager,Senior Product Manager,3.0,2-4,Strategic product vision | Market analysis | Data-driven decisions,Standard product career ladder
business_analysis,Business Analysis & Product,Business-focused analytical and product management roles,Product Manager,Product Owner,2.0,1-3,Agile expertise | Backlog management | User story creation,Agile-focused role
business_analysis,Business Analysis & Product,Business-focused analytical and product management roles,Senior Product Manager,Product Director,3.0,2-4,Multi-product oversight | Team leadership | Business strategy,Product leadership track
business_analysis,Business Analysis & Product,Business-focused analytical and product management roles,Senior Product Manager,Head of Product,4.0,3-5,Product organization leadership | Vision setting | Executive collaboration,Senior leadership role
project_management,Project & Program Management,PMI framework-based progression for project management professionals,Project Coordinator,Associate Project Manager,2.0,1-3,Basic PM tools | Task coordination | Documentation,PMI career framework entry level
project_management,Project & Program Management,PMI framework-based progression for project management professionals,Project Coordinator,Project Manager I,2.0,2-3,Independent project delivery | Stakeholder communication | PMP certification helpful,PMI baseline job descriptions
project_management,Project & Program Management,PMI framework-based progression for project management professionals,Project Manager,Senior Project Manager,3.0,2-4,Complex project leadership | Multi-team coordination | Risk management | 0-7 years PM experience,"PMI career framework, typical 0-7 years experience range"
project_management,Project & Program Management,PMI framework-based progression for project management professionals,Project Manager,Scrum Master,2.0,1-3,Agile/Scrum expertise | Facilitation skills | CSM certification,Agile specialization
project_management,Project & Program Management,PMI framework-based progression for project management professionals,Senior Project Manager,Program Manager,3.0,2-4,Multi-project oversight | Strategic alignment | Interdependency management | 7+ years experience,PMI framework - oversees related projects for broader objectives
project_management,Project & Program Management,PMI framework-based progression for project management professionals,Senior Project Manager,Project Director,4.0,3-5,Portfolio oversight | Strategic planning | Executive stakeholder management,Senior PM leadership track
project_management,Project & Program Management,PMI framework-based progression for project management professionals,Program Manager,Portfolio Manager,3.0,2-4,Organizational strategy alignment | Resource optimization | Enterprise-level decision making | Significant experience,PMI framework - highest strategic level managing all programs/projects
project_management,Project & Program Management,PMI framework-based progression for project management professionals,Program Manager,Director of Program Management,3.0,2-5,"Bachelor's required, Master's preferred | Program office leadership | Policy influence",PMI senior leadership role
technical_specializations,Technical Specializations,Specialized technical career paths,QA Engineer,Senior QA Engineer,3.0,2-4,Test automation | Framework design | Quality strategy,Standard QA progression
technical_specializations,Technical Specializations,Specialized technical career paths,QA Engineer,QA Lead,4.0,3-5,Team leadership | Quality processes | Tools selection,QA leadership track
technical_specializations,Technical Specializations,Specialized technical career paths,DevOps Engineer,Senior DevOps Engineer,3.0,2-4,CI/CD expertise | Cloud platforms | Infrastructure as code | Security,DevOps career progression
technical_specializations,Technical Specializations,Specialized technical career paths,DevOps Engineer,Site Reliability Engineer,2.0,2-3,System reliability | Incident management | Automation,SRE specialization
technical_specializations,Technical Specializations,Specialized technical career paths,UI/UX Designer,Senior UI/UX Designer,3.0,2-4,Design system creation | User research leadership | Interaction design mastery,Design career ladder
technical_specializations,Technical Specializations,Specialized technical career paths,UI/UX Designer,Product Designer,2.0,2-3,End-to-end product design | Strategy involvement | Cross-functional collaboration,Design to product transition
finance_accounting,Finance & Accounting,Financial management and accounting career progression,Accountant,Senior Accountant,3.0,2-5,CPA certification helpful | Process ownership | Mentoring juniors | Advanced accounting skills,Industry standard 2-5 years for senior accountant
finance_accounting,Finance & Accounting,Financial management and accounting career progression,Accountant,Staff Accountant,2.0,1-3,General ledger management | Month-end close | Financial reporting,Common accounting progression
finance_accounting,Finance & Accounting,Financial management and accounting career progression,Senior Accountant,Accounting Manager,3.0,2-4,Team leadership | Process improvement | 5+ years accounting experience,Standard management track
finance_accounting,Finance & Accounting,Financial management and accounting career progression,Senior Accountant,Financial Controller,4.0,3-6,Financial statement oversight | Internal controls | 5-10 years experience,Typical 6-8 years to Controller
finance_accounting,Finance & Accounting,Financial management and accounting career progression,Financial Controller,Chief Financial Officer (CFO),5.0,4-8,Strategic financial leadership | 10-15+ years experience | MBA often preferred | Corporate finance expertise,CFOs typically have 10-15+ years finance experience
finance_accounting,Finance & Accounting,Financial management and accounting career progression,Financial Controller,Director of Finance,3.0,2-5,Financial planning | Team management | Strategic analysis,Finance leadership track
finance_accounting,Finance & Accounting,Financial management and accounting career progression,Financial Analyst,Senior Financial Analyst,3.0,2-4,Financial modeling | Forecasting | Valuation analysis,FP&A career ladder
finance_accounting,Finance & Accounting,Financial management and accounting career progression,Financial Analyst,Finance Manager,4.0,3-5,Budget management | Team leadership | Strategic planning,Management progression
marketing,Marketing & Communications,Marketing and communications career progression,Marketing Coordinator,Marketing Specialist,2.0,1-3,Campaign execution | Content creation | Social media management,Entry marketing progression
marketing,Marketing & Communications,Marketing and communications career progression,Marketing Coordinator,Marketing Associate,2.0,1-3,Marketing campaigns | Analytics | Cross-functional collaboration,Common entry path
marketing,Marketing & Communications,Marketing and communications career progression,Marketing Specialist,Marketing Manager,4.0,3-7,Campaign strategy | Budget management | Team leadership | 5-7 years experience,"Typical 5-7 years to manager, can be 3 years for high performers"
marketing,Marketing & Communications,Marketing and communications career progression,Marketing Specialist,Digital Marketing Manager,3.0,2-5,SEO/SEM | Digital analytics | Content strategy,Digital specialization
marketing,Marketing & Communications,Marketing and communications career progression,Marketing Manager,Marketing Director,4.0,3-7,Strategic planning | Multi-channel campaigns | 7-15 years total experience | Leadership,"Typical 7-10 years in marketing for director, 10 years common requirement"
marketing,Marketing & Communications,Marketing and communications career progression,Marketing Manager,Senior Marketing Manager,3.0,2-4,Advanced strategy | Cross-department collaboration | P&L ownership,Senior management track
marketing,Marketing & Communications,Marketing and communications career progression,Marketing Director,VP of Marketing,4.0,3-5,Organization-wide strategy | Executive leadership | Brand vision | Business growth,C-suite progression
marketing,Marketing & Communications,Marketing and communications career progression,Marketing Director,Chief Marketing Officer (CMO),5.0,4-7,Corporate strategy | 15+ years experience | Revenue accountability | Executive presence,Top marketing leadership
human_resources,Human Resources,HR and talent management career progression,HR Assistant,HR Coordinator,2.0,1-3,HRIS management | Employee relations support | Onboarding coordination,"Entry-level HR progression, 0-3 years as assistant"
human_resources,Human Resources,HR and talent management career progression,HR Assistant,HR Generalist,3.0,2-4,Recruitment | Employee relations | Policy implementation | Benefits administration,Common HR career path
human_resources,Human Resources,HR and talent management career progression,HR Generalist,Senior HR Generalist,3.0,2-4,Complex employee relations | Compliance | Strategic HR support,Mid-level HR progression
human_resources,Human Resources,HR and talent management career progression,HR Generalist,HR Manager,4.0,3-5,Team leadership | HR strategy | 5-7 years HR experience | Master's helpful,Typical 5-7 years for HR Manager
human_resources,Human Resources,HR and talent management career progression,HR Generalist,Talent Acquisition Manager,3.0,2-4,Recruitment strategy | Hiring manager partnerships | Team management,Specialization in recruitment
human_resources,Human Resources,HR and talent management career progression,HR Manager,Senior HR Manager,3.0,2-4,Strategic HR programs | Change management | Multi-site support,Senior HR leadership
human_resources,Human Resources,HR and talent management career progression,HR Manager,HR Director,4.0,3-5,HR function leadership | Organizational development | Executive partnership,HR leadership track
human_resources,Human Resources,HR and talent management career progression,HR Director,VP of Human Resources,3.0,2-5,Enterprise HR strategy | C-suite collaboration | Talent management,Senior HR executive
human_resources,Human Resources,HR and talent management career progression,HR Director,Chief Human Resources Officer (CHRO),4.0,3-6,Corporate HR leadership | 8-10 years managing HR teams | 10-20 years total HR experience | MBA/Master's preferred,"8-10 years supervising HR for CHRO, 10-20 years total experience"
sales,Sales & Business Development,Sales and revenue generation career progression,Sales Representative,Senior Sales Representative,2.0,2-4,Quota achievement | Territory management | Client relationships,Sales IC progression
sales,Sales & Business Development,Sales and revenue generation career progression,Sales Representative,Account Executive,2.0,1-3,Full sales cycle | Deal closing | Account management,Common progression from SDR/BDR roles
sales,Sales & Business Development,Sales and revenue generation career progression,Account Executive,Senior Account Executive,3.0,2-4,Enterprise deals | Complex sales | Strategic selling,Senior sales progression
sales,Sales & Business Development,Sales and revenue generation career progression,Account Executive,Sales Manager,3.0,2-4,Team leadership | Coaching | Sales forecasting | Quota management,Transition to sales management
sales,Sales & Business Development,Sales and revenue generation career progression,Sales Manager,Regional Sales Manager,3.0,2-4,Multi-team management | Territory strategy | Revenue growth,Regional sales leadership
sales,Sales & Business Development,Sales and revenue generation career progression,Sales Manager,Sales Director,3.0,2-5,Multi-regional oversight | Scalable processes | Strategic planning,Sales leadership progression
sales,Sales & Business Development,Sales and revenue generation career progression,Sales Director,VP of Sales,3.0,2-5,Sales organization building | Revenue strategy | Executive leadership | Best case 5-6 years total,VP Sales typically 5-6 years minimum in best case
sales,Sales & Business Development,Sales and revenue generation career progression,Sales Director,Head of Sales,3.0,2-4,Complete sales function | Strategic alignment | Team scaling,Senior sales leadership
sales,Sales & Business Development,Sales and revenue generation career progression,VP of Sales,Chief Sales Officer (CSO),4.0,3-5,Enterprise sales strategy | Global sales leadership | Board reporting,C-suite sales progression
sales,Sales & Business Development,Sales and revenue generation career progression,VP of Sales,Chief Revenue Officer (CRO),3.0,2-5,All revenue functions | Sales + Marketing + CS | Growth strategy,Highest revenue leadership
operations,Operations & Supply Chain,Operations management and supply chain career progression,Operations Coordinator,Operations Analyst,2.0,1-3,Process analysis | Data reporting | Efficiency optimization,Entry operations track
operations,Operations & Supply Chain,Operations management and supply chain career progression,Operations Coordinator,Operations Specialist,2.0,1-3,Process management | Cross-functional coordination | Problem solving,Operations advancement
operations,Operations & Supply Chain,Operations management and supply chain career progression,Operations Manager,Senior Operations Manager,3.0,2-4,Multi-team oversight | Strategic planning | Budget management,Operations management progression
operations,Operations & Supply Chain,Operations management and supply chain career progression,Operations Manager,Operations Director,4.0,3-5,Department leadership | Process transformation | KPI ownership,Operations leadership
operations,Operations & Supply Chain,Operations management and supply chain career progression,Operations Director,VP of Operations,4.0,3-5,Organization-wide operations | Executive leadership | Strategic initiatives,Senior operations executive
operations,Operations & Supply Chain,Operations management and supply chain career progression,Operations Director,Chief Operations Officer (COO),5.0,4-7,Corporate operations strategy | 15+ years experience | P&L ownership | Executive team,C-suite operations
customer_success,Customer Success & Support,Customer-facing career progression,Customer Support Representative,Senior Support Representative,2.0,1-3,Complex issue resolution | Product expertise | Mentoring,Support career ladder
customer_success,Customer Success & Support,Customer-facing career progression,Customer Support Representative,Customer Success Associate,2.0,1-3,Account management | Customer onboarding | Retention focus,Transition to CS
customer_success,Customer Success & Support,Customer-facing career progression,Customer Success Manager,Senior Customer Success Manager,3.0,2-4,Enterprise accounts | Strategic partnerships | Expansion revenue,CS advancement
customer_success,Customer Success & Support,Customer-facing career progression,Customer Success Manager,Team Lead - Customer Success,3.0,2-4,Team management | Coaching | Process improvement,CS management track
customer_success,Customer Success & Support,Customer-facing career progression,Team Lead - Customer Success,Customer Success Manager (Team),2.0,1-3,Multi-team oversight | Strategy execution | Metrics ownership,CS leadership
customer_success,Customer Success & Support,Customer-facing career progression,Team Lead - Customer Success,Director of Customer Success,3.0,2-5,Department leadership | Customer strategy | Cross-functional alignment,CS director track
ai_engineering,AI & Machine Learning Engineering,Specialized track for AI research and engineering,AI Intern,Junior AI Engineer,1.0,0.5-1.5,Python proficiency | Basic ML library knowledge (PyTorch/TF) | Mathematical foundations,Industry standard internship to junior transition
ai_engineering,AI & Machine Learning Engineering,Specialized track for AI research and engineering,Junior AI Engineer,AI Engineer,2.0,1-3,Model training pipelines | Data engineering basics | Algorithm implementation,AI career path research
ai_engineering,AI & Machine Learning Engineering,Specialized track for AI research and engineering,AI Engineer,Senior AI Engineer,3.0,2-5,Architecture design | Performance optimization | Advanced deep learning | Research application,Sourced from 2024 AI market trends
education,Education & Academic,Career paths for teachers and university lecturers,Teaching Assistant / Intern,Junior Teacher,1.0,1-2,Bachelor's in Education or subject area | Classroom management basics,Education sector standards
education,Education & Academic,Career paths for teachers and university lecturers,Teaching Assistant / Intern,Lecturer (Probationary),3.0,2-4,Master's degree | Research potential | Teaching methodology,University career hierarchy (Sri Lanka standard)
education,Education & Academic,Career paths for teachers and university lecturers,Teacher,Senior Teacher,5.0,4-8,Pedagogical mastery | Curriculum development | Advanced certifications (PGDip),MOE Sri Lanka & International standards
education,Education & Academic,Career paths for teachers and university lecturers,Teacher,Sectional Head / Department Head,8.0,6-10,Leadership skills | Administrative management,School administration hierarchy
education,Education & Academic,Career paths for teachers and university lecturers,Lecturer,Senior Lecturer,5.0,4-7,PhD completion | Research publications | Teaching excellence,Higher Education career ladder
executives,Executive Leadership,High-level corporate leadership paths,Management Trainee / Intern,Junior Manager,2.0,1.5-3,Business process understanding | Project coordination | Operational excellence,Corporate graduate programs
executives,Executive Leadership,High-level corporate leadership paths,General Manager,Director,4.0,3-6,Strategic P&L management | Organization-wide impact | 15+ years experience,Executive search standard
executives,Executive Leadership,High-level corporate leadership paths,General Manager,Chief Executive Officer (CEO),5.0,5-10+,Visionary leadership | Board relations | Extensive industry background | 20+ years experience,Executive leadership research
